"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
602,NA,NA,0,1,2,6,7,7,7,7,7,8,9,11,17,26,28,29,29,29,29,29,30,31,32,33,33,33,33,33,33,33,33,33,33
603,2,4,10,12,14,16,18,23,28,30,32,33,35,37,39,40,42,43,51,53,60,62,70,72,80,82,84,86,93,91,91,91,91,98,100
604,1,2,3,3,3,3,3,3,3,4,5,5,5,6,7,7,7,7,7,9,13,14,16,16,16,16,16,16,16,16,16,16,16,16,16
605,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
606,1,2,4,17,19,32,45,47,63,63,65,66,74,80,82,94,96,97,114,131,131,134,147,155,157,161,167,173,178,179,179,180,181,191,191
607,0,0,0,0,1,1,1,2,3,4,5,6,7,8,8,9,9,9,10,10,10,19,19,19,19,20,20,20,20,20,20,20,20,21,21
608,0,0,1,2,3,7,9,15,17,18,18,18,18,23,25,27,29,27,27,27,27,27,31,33,35,41,43,52,61,61,63,65,67,69,71
609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,1,5,7,9,11,19,20,22,23,24,29,34,40,42,43,44,45,46,48,48,49,56,62,63,64,65,66,66,66,66,66,66,66,67,68
611,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,10,11,13,13,14,15,15,15,15,19,20,21,22,22,22,22,24
612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4
613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0,3,3,3,4,6,7,7,7,8,9,9,10,16,18,19,21,21,23,24,26,27,27,27,27,27,27,27,27,28,29,29,29,29,30
615,1,3,8,10,12,14,16,18,20,26,28,30,32,32,34,36,37,38,39,41,49,51,56,65,67,68,70,72,74,75,82,84,92,101,103
616,1,2,3,4,4,5,11,13,15,16,17,18,24,26,28,30,32,33,39,40,40,45,47,49,50,56,58,60,62,68,73,81,86,88,97
617,0,2,7,7,9,13,15,16,17,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,26,28,29,29,29,29,29,29,29,30,30
618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,2,4,5,6,4,4,4,5,6,8,8,8,8,8,8,12,13,13,25,25,25,25,25,25,25,25,25,25,25,25,33,34
620,2,15,16,18,20,25,27,29,30,39,41,41,41,41,41,41,42,43,44,48,48,51,51,59,64,72,79,80,82,83,83,83,90,91,92
621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,3,3,3
623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,1,5,5,6,7,7,12,13,13,13,14,15,16,17,18,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
